 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001     30       0  rtu0300                3.952   20946.531       0.000     331.183       8.396       0.000     283.876     260.341      80.988       0.003       0.580     182.059       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     31       0  rtu0310                1.519   21744.117       0.000     909.407       8.327       0.000     205.755     260.339      21.727       0.014       0.248     147.448       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     32       0  rtu0320                1.020    5469.853       0.000     126.562       8.302       0.000      71.539      67.186      21.153       0.017       0.149     194.069       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     33       0  rtu0330                3.950   22921.021       0.000     399.213       8.693       0.000     152.804     280.099     161.883       0.954       0.204      18.136       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     34       0  rtu0340                3.950   22943.625       0.000     401.393       8.691       0.000     151.180     280.099     162.172       0.977       0.203      16.382       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     35       0  rtu0350                1.062   21666.406       0.000    2695.504       8.257       0.000      62.323     170.490      15.899       0.114       0.244     104.636       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     36       0  rtu0360                0.234    8086.898       0.000     447.697       8.291       0.000      75.455      97.628       0.000       0.005       0.046     186.369       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     37       0  rtu0370                3.951   22357.172       0.000     343.013       9.221       0.000     188.002     247.055     146.713       0.103       0.181      51.084       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     38       0  rtu0380                0.208    6795.022       0.000     390.047       8.307       0.000      96.876      86.780       0.000       0.000       0.039     217.822       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     39       0  rtu0390                3.951   22500.129       0.000     348.237       9.163       0.000     174.077     247.055     146.600       0.244       0.181      45.140       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     40       0  rtu0400                2.245   21217.867       0.000     718.308       8.361       0.000     262.405     260.341      37.260       0.276       0.347     197.473       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     41       0  rtu0410                0.588   25640.979       0.000    2469.960       8.329       0.000     212.002     260.341       0.000       0.000       0.161     180.528       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     42       0  rtu0420                0.623   22608.688       0.000    1140.711       8.276       0.000     135.096     260.341       0.000       0.025       0.128      95.144       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     43       0  rtu0430                3.950   22984.707       0.000     401.597       8.685       0.000     148.003     280.099     161.958       1.006       0.204      16.254       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     44       0  rtu0440                0.623   22427.531       0.000    1133.982       8.086       0.000     125.234     260.341      10.573       0.034       0.120      43.500       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     45       0  rtu0450                2.712   24247.750       0.000     774.183       8.913       0.000     174.101     280.099      59.252       0.811       0.413      80.152       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     46       0  rtu0460                3.950   22252.420       0.000     378.741       8.767       0.000     194.629     280.099     161.539       0.366       0.202      34.656       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     47       0  rtu0470                0.702   20871.268       0.000    1225.092       9.022       0.000     285.908     280.099       0.000       0.000       0.082     226.322       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     48       0  rtu0480                3.952   21839.965       0.000     351.240       8.361       0.000     243.651     260.344      76.618       0.328       0.591     149.613       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     49       0  rtu0490                3.950   21737.102       0.000     360.323       8.827       0.000     255.031     280.099     160.914       0.026       0.203      57.936       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
