 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001      38       0  rtu0380                0.000       0.000      10.392       5.742       0.000       0.000            0.000          402.297          672.313            7.678           52.150           35.793            0.592            0.000            0.000
   365    12    31  2001      39       0  rtu0390                0.000       0.000       6.633       3.791       0.000       0.000            0.000           26.034          184.386            2.377           14.570            0.278           33.524            0.000            0.000
   365    12    31  2001      40       0  rtu0400                0.000       0.000      12.055       6.699       0.000       0.000            0.000          300.912          679.566            7.702           52.826           78.677           18.030            0.000            0.000
   365    12    31  2001      41       0  rtu0410                0.000       0.000      10.625       5.863       0.000       0.000            0.000          270.423          666.426            7.837           51.726          112.766            6.041            0.000            0.000
   365    12    31  2001      42       0  rtu0420                0.000       0.000       8.923       5.195       0.000       0.000            0.000          160.842          626.989            8.042           48.669          110.804            0.424            0.000            0.000
   365    12    31  2001      43       0  rtu0430                0.000       0.000       6.619       3.707       0.000       0.000            0.000           11.021          177.231            2.425           14.031            0.349           37.277            0.000            0.000
   365    12    31  2001      44       0  rtu0440                0.000       0.000       4.891       1.907       0.000       0.000            0.000           87.504          472.373            6.160           36.696           52.713            0.491            0.000            0.000
   365    12    31  2001      45       0  rtu0450                0.000       0.000      10.915       6.245       0.000       0.000            0.000          166.031          600.585            7.498           46.760           71.154           23.261            0.000            0.000
   365    12    31  2001      46       0  rtu0460                0.000       0.000       7.171       4.039       0.000       0.000            0.000           20.849          186.850            2.381           14.792            0.355           35.968            0.000            0.000
   365    12    31  2001      47       0  rtu0470                0.000       0.000      10.600       5.944       0.000       0.000            0.000          374.565          694.637            7.688           53.860          114.229            1.729            0.000            0.000
   365    12    31  2001      48       0  rtu0480                0.000       0.000      13.994       7.685       0.000       0.000            0.000          235.563          667.510            7.707           52.031           52.900           35.797            0.000            0.000
   365    12    31  2001      49       0  rtu0490                0.000       0.000       7.614       4.262       0.000       0.000            0.000           33.703          195.605            2.345           15.485            0.347           35.253            0.000            0.000
   365    12    31  2001      50       0  rtu0500                0.000       0.000       8.678       4.425       0.000       0.000            0.000          333.565          619.766            6.873           48.068           92.502            1.754            0.000            0.000
   365    12    31  2001      51       0  rtu0510                0.000       0.000       8.405       4.667       0.000       0.000            0.000           59.537          271.872            3.330           21.373            9.384           35.837            0.000            0.000
   365    12    31  2001      52       0  rtu0520                0.000       0.000       6.906       4.003       0.000       0.000            0.000           22.610          186.337            2.385           14.751            0.352           36.162            0.000            0.000
   365    12    31  2001      53       0  rtu0530                0.000       0.000      14.729       7.875       0.000       0.000            0.000          237.901          664.889            7.658           51.827           50.881           36.996            0.000            0.000
   365    12    31  2001      54       0  rtu0540                0.000       0.000       9.616       5.560       0.000       0.000            0.000          269.758          655.487            7.875           50.853          113.800            1.086            0.000            0.000
   365    12    31  2001      55       0  rtu0550                0.000       0.000       7.507       4.237       0.000       0.000            0.000           30.531          194.034            2.350           15.360            0.352           35.209            0.000            0.000
   365    12    31  2001      56       0  rtu0560                0.000       0.000       9.840       5.617       0.000       0.000            0.000           85.617          585.908            7.933           45.636           78.510           22.636            0.000            0.000
   365    12    31  2001      57       0  rtu0570                0.000       0.000       2.453      -0.678       0.000       0.000            0.000          219.674          397.199            4.207           30.839            0.085            1.067            0.000            0.000
   365    12    31  2001      58       0  rtu0580                0.000       0.000      12.425       6.991       0.000       0.000            0.000          140.112          623.705            7.936           48.644           61.073           37.040            0.000            0.000
   365    12    31  2001      59       0  rtu0590                0.000       0.000       7.067       3.996       0.000       0.000            0.000           18.375          185.223            2.387           14.663            0.356           36.122            0.000            0.000
   365    12    31  2001      60       0  rtu0600                0.000       0.000       7.942       4.320       0.000       0.000            0.000           92.813          564.772            8.168           43.865           46.944            0.167            0.000            0.000
