 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2002      13     130  aqu130                   95.779          2.955        352.234        124.755         18.250         10.263          3.730          0.000          0.000          0.000          2.562          0.000          1.016          0.194         95.779          0.000         95.779
   365    12    31  2002      14     140  aqu140                  136.688          2.941        352.952        171.753         18.250         10.779          8.419          0.000          0.000          0.000          6.654          0.000          3.236          0.436        136.688          0.000        136.688
   365    12    31  2002      15     150  aqu150                  116.037          2.955        352.236        146.552         18.250         10.779          4.492          0.000          0.000          0.000          3.326          0.000          1.466          0.233        116.037          0.000        116.037
   365    12    31  2002      16     160  aqu160                  101.981          2.950        352.492        131.860         18.250         10.779          5.141          0.000          0.000          0.000          3.589          0.000          1.485          0.267        101.981          0.000        101.981
   365    12    31  2002      17     170  aqu170                  117.356          2.956        352.215        148.372         18.250         11.073          5.384          0.000          0.000          0.000          4.250          0.000          1.773          0.279        117.356          0.000        117.356
   365    12    31  2002      18     180  aqu180                   98.261          2.953        352.357        127.256         18.250         10.715          7.708          0.000          0.000          0.000          5.473          0.000          2.144          0.400         98.261          0.000         98.261
   365    12    31  2002      19     190  aqu190                   92.144          2.952        352.413        125.119         18.250         11.073          6.800          0.000          0.000          0.000          4.501          0.000          1.777          0.353         92.144          0.000         92.144
   365    12    31  2002      20     200  aqu200                  156.897          2.922        353.886        188.667         18.250         10.715         11.414          0.000          0.000          0.000          8.914          0.000          5.071          0.590        156.897          0.000        156.897
   365    12    31  2002      21      17  aqu_deep17                0.000         18.476       2445.705         18.250          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2003       1      10  aqu010                   88.902          2.969        351.528        117.689         18.250         11.656          7.485          0.000          0.000          0.000          3.692          0.000          1.895          0.389         88.902          0.000         88.902
   365    12    31  2003       2      20  aqu020                   74.950          2.971        351.471        104.045         18.250         11.656          8.233          0.000          0.000          0.000          3.697          0.000          1.727          0.428         74.950          0.000         74.950
   365    12    31  2003       3      30  aqu030                   83.308          2.968        351.624        112.387         18.250         11.656          7.857          0.000          0.000          0.000          3.792          0.000          1.866          0.408         83.308          0.000         83.308
   365    12    31  2003       4      40  aqu040                   40.817          2.996        350.212         70.240         18.250         11.656          5.497          0.000          0.000          0.000          2.220          0.000          0.643          0.287         40.817          0.000         40.817
   365    12    31  2003       5      50  aqu050                   20.130          3.007        349.662         49.286         18.250         11.656          3.224          0.000          0.000          0.000          1.240          0.000          0.185          0.168         20.130          0.000         20.130
   365    12    31  2003       6      60  aqu060                    2.000          3.077        346.158         30.203         18.250         12.039          2.569          0.000          0.000          0.000          0.972          0.000          0.013          0.136          2.000          0.000          2.000
   365    12    31  2003       7      70  aqu070                   76.094          2.976        351.195        104.343         18.250         12.039          5.850          0.000          0.000          0.000          2.835          0.000          1.259          0.304         76.094          0.000         76.094
   365    12    31  2003       8      80  aqu080                   71.217          2.978        351.086        100.457         18.250         12.039          6.143          0.000          0.000          0.000          2.985          0.000          1.235          0.320         71.217          0.000         71.217
   365    12    31  2003       9      90  aqu090                    7.720          3.039        348.048         38.436         18.250         11.656          2.403          0.000          0.000          0.000          0.872          0.000          0.051          0.126          7.720          0.000          7.720
   365    12    31  2003      10     100  aqu100                   44.436          2.987        350.643         74.289         18.250         11.174          2.978          0.000          0.000          0.000          1.245          0.000          0.379          0.155         44.436          0.000         44.436
   365    12    31  2003      11     110  aqu110                    4.643          3.064        346.778         31.912         18.250         11.656          1.999          0.000          0.000          0.000          0.705          0.000          0.024          0.105          4.643          0.000          4.643
   365    12    31  2003      12     120  aqu120                  121.777          2.959        352.060        149.552         18.250         11.726          7.803          0.000          0.000          0.000          4.342          0.000          2.694          0.405        121.777          0.000        121.777
   365    12    31  2003      13     130  aqu130                   87.279          2.969        351.527        115.868         18.250         11.174          4.781          0.000          0.000          0.000          2.332          0.000          1.192          0.249         87.279          0.000         87.279
   365    12    31  2003      14     140  aqu140                  127.709          2.950        352.509        153.634         18.250         11.726         10.391          0.000          0.000          0.000          5.876          0.000          3.753          0.539        127.709          0.000        127.709
   365    12    31  2003      15     150  aqu150                  105.729          2.961        351.946        134.103         18.250         11.726          5.722          0.000          0.000          0.000          3.094          0.000          1.715          0.297        105.729          0.000        105.729
   365    12    31  2003      16     160  aqu160                   91.308          2.972        351.417        119.754         18.250         11.726          6.553          0.000          0.000          0.000          3.261          0.000          1.702          0.341         91.308          0.000         91.308
   365    12    31  2003      17     170  aqu170                  104.889          2.967        351.627        133.220         18.250         12.039          7.029          0.000          0.000          0.000          3.817          0.000          2.084          0.365        104.889          0.000        104.889
   365    12    31  2003      18     180  aqu180                   86.507          2.975        351.256        114.265         18.250         11.656         10.081          0.000          0.000          0.000          4.973          0.000          2.484          0.524         86.507          0.000         86.507
   365    12    31  2003      19     190  aqu190                   84.966          2.975        351.247        112.502         18.250         12.039          8.574          0.000          0.000          0.000          4.025          0.000          2.068          0.446         84.966          0.000         84.966
   365    12    31  2003      20     200  aqu200                  143.343          2.957        352.158        172.429         18.250         11.656         13.611          0.000          0.000          0.000          7.978          0.000          5.541          0.706        143.343          0.000        143.343
   365    12    31  2003      21      17  aqu_deep17                0.000         17.868       2463.973         18.250          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2004       1      10  aqu010                  102.269          2.969        351.553        135.378         18.300         10.896          8.785          0.000          0.000          0.000          4.127          0.000          2.557          0.458        102.269          0.000        102.269
   366    12    31  2004       2      20  aqu020                   84.156          2.968        351.614        115.015         18.300         10.896          9.528          0.000          0.000          0.000          4.002          0.000          2.265          0.496         84.156          0.000         84.156
   366    12    31  2004       3      30  aqu030                   99.758          2.964        351.785        131.656         18.300         10.896          9.330          0.000          0.000          0.000          4.351          0.000          2.652          0.486         99.758          0.000         99.758
   366    12    31  2004       4      40  aqu040                   54.176          2.990        350.486         85.107         18.300         10.896          6.812          0.000          0.000          0.000          2.593          0.000          1.055          0.356         54.176          0.000         54.176
   366    12    31  2004       5      50  aqu050                   29.256          2.998        350.112         58.867         18.300         10.896          4.098          0.000          0.000          0.000          1.360          0.000          0.344          0.214         29.256          0.000         29.256
   366    12    31  2004       6      60  aqu060                    0.623          3.071        346.467         33.871         18.300         11.258          3.409          0.000          0.000          0.000          1.080          0.000          0.006          0.180          0.623          0.000          0.623
   366    12    31  2004       7      70  aqu070                   79.219          2.974        351.279        111.925         18.300         11.258          7.045          0.000          0.000          0.000          3.046          0.000          1.585          0.367         79.219          0.000         79.219
   366    12    31  2004       8      80  aqu080                   83.054          2.975        351.246        111.167         18.300         11.258          7.469          0.000          0.000          0.000          3.266          0.000          1.765          0.390         83.054          0.000         83.054
   366    12    31  2004       9      90  aqu090                   19.620          3.019        349.027         48.616         18.300         10.896          3.111          0.000          0.000          0.000          0.998          0.000          0.174          0.163         19.620          0.000         19.620
   366    12    31  2004      10     100  aqu100                   56.677          2.977        351.160         86.065         18.300         10.441          3.627          0.000          0.000          0.000          1.324          0.000          0.588          0.189         56.677          0.000         56.677
   366    12    31  2004      11     110  aqu110                    8.452          3.039        348.055         40.404         18.300         10.896          2.617          0.000          0.000          0.000          0.806          0.000          0.063          0.138          8.452          0.000          8.452
   366    12    31  2004      12     120  aqu120                  137.194          2.955        352.261        164.111         18.300         10.962          8.892          0.000          0.000          0.000          4.638          0.000          3.467          0.463        137.194          0.000        137.194
   366    12    31  2004      13     130  aqu130                   94.380          2.964        351.797        127.186         18.300         10.441          5.593          0.000          0.000          0.000          2.485          0.000          1.503          0.291         94.380          0.000         94.380
   366    12    31  2004      14     140  aqu140                  145.732          2.946        352.709        172.665         18.300         10.962         11.877          0.000          0.000          0.000          6.525          0.000          4.921          0.617        145.732          0.000        145.732
   366    12    31  2004      15     150  aqu150                  117.141          2.963        351.843        143.809         18.300         10.962          6.723          0.000          0.000          0.000          3.313          0.000          2.240          0.350        117.141          0.000        117.141
   366    12    31  2004      16     160  aqu160                   99.080          2.967        351.654        132.242         18.300         10.962          7.668          0.000          0.000          0.000          3.524          0.000          2.160          0.399         99.080          0.000         99.080
   366    12    31  2004      17     170  aqu170                  115.898          2.962        351.914        144.043         18.300         11.258          8.287          0.000          0.000          0.000          4.160          0.000          2.730          0.431        115.898          0.000        115.898
   366    12    31  2004      18     180  aqu180                   95.905          2.955        352.272        129.806         18.300         10.896         11.814          0.000          0.000          0.000          5.307          0.000          3.221          0.614         95.905          0.000         95.905
   366    12    31  2004      19     190  aqu190                   93.167          2.969        351.527        126.586         18.300         11.258         10.032          0.000          0.000          0.000          4.462          0.000          2.656          0.523         93.167          0.000         93.167
   366    12    31  2004      20     200  aqu200                  164.358          2.938        353.120        192.856         18.300         10.896         14.986          0.000          0.000          0.000          8.486          0.000          6.982          0.778        164.358          0.000        164.358
   366    12    31  2004      21      17  aqu_deep17                0.000         17.257       2482.284         18.300          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2005       1      10  aqu010                   98.909          2.958        352.095        124.607         18.250         10.924          9.467          0.000          0.000          0.000          3.697          0.000          2.667          0.491         98.909          0.000         98.909
   365    12    31  2005       2      20  aqu020                   85.656          2.970        351.476        112.641         18.250         10.924         10.594          0.000          0.000          0.000          3.972          0.000          2.565          0.551         85.656          0.000         85.656
   365    12    31  2005       3      30  aqu030                   95.174          2.956        352.180        119.628         18.250         10.924         10.030          0.000          0.000          0.000          3.737          0.000          2.727          0.520         95.174          0.000         95.174
   365    12    31  2005       4      40  aqu040                   50.540          2.989        350.571         76.959         18.250         10.924          7.658          0.000          0.000          0.000          2.216          0.000          1.113          0.399         50.540          0.000         50.540
