 LLYFNI2                  
  SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2010     158    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     159    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     160    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     161    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     162    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     163    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     164    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     165    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     166    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     167    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     168    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     169    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     170    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     174    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     175    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     176    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     177    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     178    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     179    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     180    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     181    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     182    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     183    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     184    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     185    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     186    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     187    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     188    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     189    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     190    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     191    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     192    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     193    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     194    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     195    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     196    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     197    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     198    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     199    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     200    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     201    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     203    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     204    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     205    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     206    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     207    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     208    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     209    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     210    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     211    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     212    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     213    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     214    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     215    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     216    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     217    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     218    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     219    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     220    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     221    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     222    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     223    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     224    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     225    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     226    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     227    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     228    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     229    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     230    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     231    past                        0.000       0.000       0.000       0.000
