 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001     55       0  rtu0550                0.181       0.518       0.073       0.326       0.000       0.089       0.000       0.005       0.000
    365    12    31  2001     56       0  rtu0560                0.003       0.019       0.001       0.158       0.000       0.021       0.000       0.000       0.000
    365    12    31  2001     57       0  rtu0570                0.077       0.571       0.036       1.353       0.000       0.003       0.000       0.002       0.000
    365    12    31  2001     58       0  rtu0580                0.049       0.548       0.045       0.459       0.000       0.058       0.000       0.001       0.000
    365    12    31  2001     59       0  rtu0590                0.163       0.439       0.061       0.163       0.000       0.053       0.000       0.004       0.000
    365    12    31  2001     60       0  rtu0600               68.385       4.787       0.312      24.774       0.000       0.022       0.000       0.017       0.000
    365    12    31  2001     61       0  rtu0610                0.071       0.723       0.042       0.564       0.000       0.002       0.000       0.002       0.000
    365    12    31  2001     62       0  rtu0620                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001     63       0  rtu0630                0.022       0.148       0.009       0.339       0.000       0.011       0.000       0.001       0.000
    365    12    31  2001     64       0  rtu0640                0.014       0.098       0.006       0.087       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001     65       0  rtu0650                0.050       0.331       0.021       0.280       0.000       0.002       0.000       0.001       0.000
    365    12    31  2001     66       0  rtu0660               18.990       4.115       0.272      18.960       0.000       0.093       0.000       0.025       0.000
    365    12    31  2001     67       0  rtu0670                0.000       0.000       0.000       1.274       0.000       0.063       0.000       0.000       0.000
    365    12    31  2001     68       0  rtu0680                3.006       2.299       0.128       0.071       0.000       0.002       0.000       0.017       0.000
    365    12    31  2001     69       0  rtu0690                0.032       0.098       0.007       0.016       0.000       0.000       0.000       0.001       0.000
    365    12    31  2001     70       0  rtu0700                0.012       0.085       0.005       0.070       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001     71       0  rtu0710               32.389       7.699       0.506      24.892       0.000       0.037       0.000       0.065       0.000
    365    12    31  2001     72       0  rtu0720                0.125       0.338       0.047       0.100       0.000       0.036       0.000       0.003       0.000
    365    12    31  2001     73       0  rtu0730                0.001       0.010       0.001       0.003       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001     74       0  rtu0740                0.029       0.095       0.007       0.023       0.000       0.000       0.000       0.001       0.000
    365    12    31  2001     75       0  rtu0750                0.001       0.004       0.000       0.152       0.000       0.007       0.000       0.000       0.000
    365    12    31  2001     76       0  rtu0760                0.153       0.415       0.058       0.176       0.000       0.058       0.000       0.004       0.000
    365    12    31  2001     77       0  rtu0770                0.035       0.109       0.013       0.071       0.000       0.018       0.000       0.001       0.000
    365    12    31  2001     78       0  rtu0780                0.006       0.045       0.003       0.048       0.000       0.002       0.000       0.000       0.000
    365    12    31  2001     79       0  rtu0790                0.038       0.247       0.016       0.121       0.000       0.001       0.000       0.001       0.000
    365    12    31  2001     80       0  rtu0800                0.126       0.341       0.047       0.092       0.000       0.036       0.000       0.003       0.000
    365    12    31  2001     81       0  rtu0810                0.000       0.000       0.000       0.154       0.000       0.024       0.000       0.000       0.000
    365    12    31  2001     82       0  rtu0820                0.008       0.057       0.004       0.037       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001     83       0  rtu0830                0.075       0.203       0.026       0.091       0.000       0.031       0.000       0.002       0.000
    365    12    31  2001     84       0  rtu0840                0.043       0.303       0.022       0.179       0.000       0.014       0.000       0.001       0.000
    365    12    31  2001     85       0  rtu0850               30.688       2.196       0.198      11.907       0.000       0.036       0.000       0.028       0.000
    365    12    31  2001     86       0  rtu0860                0.020       0.130       0.008       0.096       0.000       0.001       0.000       0.000       0.000
    365    12    31  2001     87       0  rtu0870               29.679       2.869       0.241      12.887       0.000       0.039       0.000       0.076       0.000
    365    12    31  2001     88       0  rtu0880              156.938       2.873       0.239      11.399       0.000       0.038       0.000       0.054       0.000
    365    12    31  2001     89       0  rtu0890                0.018       0.190       0.013       0.068       0.000       0.003       0.000       0.000       0.000
    365    12    31  2001     90       0  rtu0900                0.052       0.345       0.022       0.243       0.000       0.002       0.000       0.001       0.000
    365    12    31  2001     91       0  rtu0910               13.377       2.001       0.183       7.847       0.000       0.034       0.000       0.054       0.000
    365    12    31  2001     92       0  rtu0920                0.126       0.342       0.047       0.108       0.000       0.036       0.000       0.003       0.000
    365    12    31  2001     93       0  rtu0930                0.036       0.243       0.016       0.115       0.000       0.002       0.000       0.001       0.000
    365    12    31  2001     94       0  rtu0940                3.316       1.123       0.095       4.410       0.000       0.048       0.000       0.013       0.000
    365    12    31  2001     95       0  rtu0950                0.042       0.475       0.029       0.370       0.000       0.006       0.000       0.001       0.000
    365    12    31  2001     96       0  rtu0960               55.190       1.394       0.120       3.356       0.000       0.024       0.000       0.043       0.000
    365    12    31  2001     97       0  rtu0970                0.130       0.351       0.049       0.092       0.000       0.035       0.000       0.003       0.000
    365    12    31  2001     98       0  rtu0980                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001     99       0  rtu0990                0.002       0.023       0.002       0.098       0.000       0.012       0.000       0.000       0.000
    365    12    31  2001    100       0  rtu1000                0.056       0.173       0.023       0.206       0.000       0.054       0.000       0.001       0.000
    365    12    31  2001    101       0  rtu1010               41.640       2.334       0.207      12.651       0.000       0.037       0.000       0.027       0.000
    365    12    31  2001    102       0  rtu1020               25.505       6.309       0.351       0.103       0.000       0.001       0.000       0.008       0.000
