	210	0	51	-1	202	98	2	1	14
	202	52	57	210	194	106	2	-1	13
	194	58	87	202	186	90	2	-1	12
	186	88	110	194	178	66	2	-1	11
	178	111	127	186	170	42	2	-1	10
	170	128	141	178	162	10	2	-1	9
	162	142	146	170	154	82	2	-1	8
	154	147	158	162	146	2	2	-1	7
	146	159	168	154	138	34	2	-1	6
	138	169	175	146	130	18	2	-1	5
	130	176	180	138	122	74	2	-1	4
	122	181	199	130	114	26	2	-1	3
	114	200	214	122	50	58	2	-1	2
	106	215	305	202	-1	-1	1	-1	1
	98	306	349	210	-1	-1	1	-1	1
	90	350	410	194	-1	-1	1	-1	1
	82	411	449	162	-1	-1	1	-1	1
	74	450	488	130	-1	-1	1	-1	1
	66	489	495	186	-1	-1	1	-1	1
	58	496	510	114	-1	-1	1	-1	1
	50	511	514	114	-1	-1	1	-1	1
	42	515	521	178	-1	-1	1	-1	1
	34	522	528	146	-1	-1	1	-1	1
	26	529	574	122	-1	-1	1	-1	1
	18	575	590	138	-1	-1	1	-1	1
	10	591	618	170	-1	-1	1	-1	1
	2	619	651	154	-1	-1	1	-1	1
